# 3-tier Web Architecture service list
# Format:
# id,official_name,abbreviation,description,usage,notes
1179,Amazon Route 53,R53,DNS web service,Domain name resolution and health checks,
1178,Amazon CloudFront,CF,Content Delivery Network (CDN),Fast delivery of static/dynamic content,
1182,Elastic Load Balancing,ELB,Load balancing service,Distributes traffic across multiple instances,
25,Amazon EC2 Auto Scaling,ASG,Auto scaling,Automatically adjusts EC2 instance count based on demand,
27,Amazon EC2,EC2,Virtual server,Used as an application server,
1020,Amazon Simple Storage Service,S3,Object storage,Stores static assets and backups,
117,Amazon RDS,RDS,Managed relational database,Persists application data,
113,Amazon ElastiCache,EC,In-memory cache,Session management and query caching,
604,Amazon CloudWatch,CW,Monitoring and observability,Metrics collection, alerting, and log management,
1181,Amazon Virtual Private Cloud,VPC,Virtual private cloud,Network isolation and subnet management,
216,AWS Identity and Access Management,IAM,Access management,Manages users, roles, and policies,
13,AWS Lambda,Lambda,Serverless function execution,Event-driven processing and API backends,
